original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
ROSEWOOD SUITES,rosewood-suites,https://www.edgeprop.sg/condo-apartment/rosewood-suites,https://www.edgeprop.sg/condo-apartment/rosewood-suites,"14,351","20,091",1.4,ROSEWOOD SUITES,Rosewood Drive,"737873, 737874, 737875, 737876, 737877",Condominium,99 Yrs From 25/02/2008,D25 / Woodlands,2011,200 units,"S$ 1,234 psf in Sep 2024 for a 657-sqft unit",-13.8%,"S$ 455 psf in May 2009 for a 1,711-sqft unit","Singaporean 77.9%, PR 15.3%, Foreigner 6.8%, Company 0.0%","HDB 68.9%, Private 31.1%","S$ 940 - S$ 1,234 psf / S$ 1,064 psf",S$ 2.3 - S$ 3.9 psf pm / S$ 3.1 psf pm,3.5%,EL DEVELOPMENT (ROSEWOOD) PTE LTD,14.0,ATELIER GROUP ARCHITECTS,AIK CHUAN CONSTRUCTION PTE LTD,,rosewood-suites,63 ROSEWOOD DRIVE ROSEWOOD SUITES SINGAPORE 737874,737874,1.4294460758585,103.786304785772,63,ROSEWOOD DRIVE,ROSEWOOD SUITES,WOODLANDS MRT STATION,591.4350025729058,Exit 7
AVENUE SOUTH RESIDENCE,avenue-south-residence,https://www.edgeprop.sg/condo-apartment/avenue-south-residence,https://www.edgeprop.sg/condo-apartment/avenue-south-residence,"22,806","79,821",3.5,Avenue South Residence,Silat Avenue,"168872, 168873, 168874, 168875, 168876, 168877, 168878",Apartment,99 yrs from 14/08/2018,D3 / Bukit Merah,2023,"1,074 units","S$ 2,623 psf in May 2022 for a 657-sqft unit",-15.0%,"S$ 1,394 psf in May 2025 for a 474-sqft unit","Singaporean 86.9%, PR 11.0%, Foreigner 2.1%, Company 0.0%","HDB 44.7%, Private 55.3%","S$ 1,394 - S$ 2,618 psf / S$ 2,230 psf",S$ 4.7 - S$ 8.9 psf pm / S$ 6.5 psf pm,3.5%,UNITED VENTURE DEVELOPMENT (SILAT) PTE LTD,2.0,,,,avenue-south-residence,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,168877,1.27662953410733,103.829105212029,11,SILAT AVENUE,AVENUE SOUTH RESIDENCE,TIONG BAHRU MRT STATION,1042.0622388817385,Exit A
THE SPECTRUM,the-spectrum,https://www.edgeprop.sg/condo-apartment/the-spectrum,https://www.edgeprop.sg/condo-apartment/the-spectrum,"6,556","9,178",1.4,THE SPECTRUM,Pasir Panjang Road,"117503, 117504, 117505, 117506, 118803",Condominium,Freehold,D5 / Queenstown,2005,72 units,"S$ 1,282 psf in Apr 2024 for a 2,486-sqft unit",0.0%,"S$ 446 psf in May 2005 for a 2,626-sqft unit","Singaporean 85.4%, PR 8.1%, Foreigner 6.5%, Company 0.0%","HDB 50.0%, Private 50.0%","S$ 1,282 - S$ 1,282 psf / S$ 1,282 psf",S$ 3.6 - S$ 4.3 psf pm / S$ 3.9 psf pm,3.7%,CPL HOMES PTE LTD,20.0,,,,the-spectrum,507 PASIR PANJANG ROAD THE SPECTRUM SINGAPORE 117503,117503,1.29139945043899,103.768850992913,507,PASIR PANJANG ROAD,THE SPECTRUM,HAW PAR VILLA MRT STATION,1731.9394557982992,Exit A
SOPHIA CREST,sophia-crest,https://www.edgeprop.sg/condo-apartment/sophia-crest,https://www.edgeprop.sg/condo-apartment/sophia-crest,904,"1,898",2.1,SOPHIA CREST,SOPHIA ROAD,228151,-,-,D9 / Rochor,Unknown,16 units,-,-,-,-,-,,,,,,,,,sophia-crest,67 SOPHIA ROAD SOPHIA CREST SINGAPORE 228151,228151,1.30157424362103,103.848200498266,67,SOPHIA ROAD,SOPHIA CREST,DHOBY GHAUT MRT STATION,339.4494303588199,Exit F
ASTRIDVILLE,astridville,https://www.edgeprop.sg/condo-apartment/astridville,https://www.edgeprop.sg/condo-apartment/astridville,"4,282",,,ASTRIDVILLE,Jalan Ampang,"268614, 268616, 268618, 268620, 268622, 268624",Condominium,Freehold,D10 / Bukit Timah,1985,18 units,"S$ 1,624 psf in Aug 2023 for a 2,217-sqft unit",-0.3%,"S$ 506 psf in Jun 2005 for a 2,433-sqft unit","Singaporean 64.0%, PR 16.0%, Foreigner 20.0%, Company 0.0%","HDB 12.0%, Private 88.0%","S$ 1,619 - S$ 1,619 psf / S$ 1,619 psf",S$ 3.3 - S$ 3.3 psf pm / S$ 3.3 psf pm,2.4%,,,,,,astridville,28B JALAN AMPANG ASTRIDVILLE SINGAPORE 268614,268614,1.3213223567922,103.794118014137,28B,JALAN AMPANG,ASTRIDVILLE,SIXTH AVENUE MRT STATION,1086.333640509734,Exit A
THE CLIFT,the-clift,https://www.edgeprop.sg/condo-apartment/the-clift,https://www.edgeprop.sg/condo-apartment/the-clift,"1,819","20,378",11.2,THE CLIFT,Mccallum Street,069047,Apartment,99 Yrs From 28/04/2004,D1 / Downtown Core,2011,312 units,"S$ 3,085 psf in Sep 2012 for a 1,076-sqft unit",-35.1%,"S$ 1,019 psf in Jul 2006 for a 775-sqft unit","Singaporean 57.8%, PR 13.8%, Foreigner 24.8%, Company 3.4%","HDB 26.4%, Private 73.6%","S$ 1,729 - S$ 2,161 psf / S$ 2,003 psf",S$ 5.9 - S$ 12.6 psf pm / S$ 7.4 psf pm,4.5%,NATWEST DEVELOPMENT PTE LTD,14.0,DP ARCHITECTS PTE LTD,CHINA CONSTRUCTION BUILDERS PTE LTD,,the-clift,21 MCCALLUM STREET THE CLIFT SINGAPORE 069047,69047,1.27940014288617,103.847329579148,21,MCCALLUM STREET,THE CLIFT,TANJONG PAGAR MRT STATION,184.45632017245177,Exit G
THE LEVELZ,the-levelz,https://www.edgeprop.sg/condo-apartment/the-levelz,https://www.edgeprop.sg/condo-apartment/the-levelz,"7,187","11,499",1.6,THE LEVELZ,Farrer Road,268836,Condominium,Freehold,D10 / Tanglin,2004,126 units,"S$ 2,273 psf in May 2025 for a 1,001-sqft unit",-8.1%,"S$ 523 psf in Jul 2003 for a 1,464-sqft unit","Singaporean 82.1%, PR 10.7%, Foreigner 6.6%, Company 0.7%","HDB 23.5%, Private 76.5%","S$ 1,895 - S$ 2,273 psf / S$ 2,089 psf",S$ 2.8 - S$ 5.6 psf pm / S$ 4.6 psf pm,2.6%,CRL REALTY PTE LTD,21.0,DCA ARCHITECTS PTE LTD,LUM CHANG BUILDING CONTRACTORS PTE LTD,,the-levelz,38 FARRER ROAD THE LEVELZ SINGAPORE 268836,268836,1.31353233527505,103.804996735084,38,FARRER ROAD,THE LEVELZ,FARRER ROAD MRT STATION,520.1126633475385,Exit B
BENCOOLEN HOUSE,bencoolen-house,https://www.edgeprop.sg/condo-apartment/bencoolen-house,https://www.edgeprop.sg/condo-apartment/bencoolen-house,672,"2,824",4.2,BENCOOLEN HOUSE,BENCOOLEN STREET,189620,-,-,D7 / Rochor,Unknown,18 units,-,-,-,-,-,,,,,,,,,bencoolen-house,27 BENCOOLEN STREET BENCOOLEN HOUSE SINGAPORE 189620,189620,1.29884558580411,103.849843606852,27,BENCOOLEN STREET,BENCOOLEN HOUSE,BENCOOLEN MRT STATION,78.44378608566635,Exit B
8 FARRER SUITES,8-farrer-suites,https://www.edgeprop.sg/condo-apartment/8-farrer-suites,https://www.edgeprop.sg/condo-apartment/8-farrer-suites,993,"1,391",1.4,8 FARRER SUITES,Sing Joo Walk,217820,Apartment,Freehold,D8 / Kallang,2015,34 units,"S$ 1,975 psf in Jun 2018 for a 624-sqft unit",-9.2%,"S$ 1,322 psf in May 2022 for a 1,399-sqft unit","Singaporean 79.5%, PR 15.4%, Foreigner 5.1%, Company 0.0%","HDB 46.2%, Private 53.8%","S$ 1,794 - S$ 1,794 psf / S$ 1,794 psf",S$ 4.5 - S$ 6.9 psf pm / S$ 5.7 psf pm,3.8%,RICHCAPITAL PTE LTD,10.0,RONNY CHIN ARCHITECTS PTE LTD,HON INDUSTRIES PTE LTD,,8-farrer-suites,8 SING JOO WALK 8 FARRER SUITES SINGAPORE 217820,217820,1.3149895743528,103.85470923791,8,SING JOO WALK,8 FARRER SUITES,FARRER PARK MRT STATION,160.85857634064243,Exit B
SEAVIEW POINT,seaview-point,https://www.edgeprop.sg/condo-apartment/seaview-point,https://www.edgeprop.sg/condo-apartment/seaview-point,"2,736","7,661",2.8,SEAVIEW POINT,Amber Road,439865,Apartment,Freehold,D15 / Marine Parade,1994,34 units,"S$ 1,642 psf in Nov 2022 for a 1,389-sqft unit",0.0%,"S$ 540 psf in Jan 2005 for a 1,389-sqft unit","Singaporean 81.5%, PR 14.8%, Foreigner 0.0%, Company 0.0%","HDB 29.6%, Private 70.4%","S$ 1,642 - S$ 1,642 psf / S$ 1,642 psf",S$ 3.1 - S$ 4.1 psf pm / S$ 3.5 psf pm,2.6%,,,,,,seaview-point,15 AMBER ROAD SEAVIEW POINT SINGAPORE 439865,439865,1.29953088366934,103.899817468941,15,AMBER ROAD,SEAVIEW POINT,DAKOTA MRT STATION,1559.0620685907709,Exit A
KJ MANSION,kj-mansion,https://www.edgeprop.sg/condo-apartment/kj-mansion,https://www.edgeprop.sg/condo-apartment/kj-mansion,"1,189","1,665",1.4,KJ MANSION,Rosyth Road,546144,Apartment,"999 Yrs, 999 yrs from 01/01/1886",D19 / Hougang,2003,10 units,"S$ 942 psf in Mar 2018 for a 1,539-sqft unit",0.0%,"S$ 352 psf in May 2003 for a 1,561-sqft unit","Singaporean 100.0%, PR 0.0%, Foreigner 0.0%, Company 0.0%","HDB 40.0%, Private 60.0%",S$ 942 - S$ 942 psf / S$ 942 psf,S$ 2.7 - S$ 3.4 psf pm / S$ 2.9 psf pm,3.7%,,22.0,,,,kj-mansion,7 ROSYTH ROAD KJ MANSION SINGAPORE 546144,546144,1.36314877783075,103.874660391847,7,ROSYTH ROAD,KJ MANSION,KOVAN MRT STATION,1138.6195769469766,Exit A
COASTAL BREEZE RESIDENCES,coastal-breeze-residences,https://www.edgeprop.sg/condo-apartment/coastal-breeze-residences,https://www.edgeprop.sg/condo-apartment/coastal-breeze-residences,"4,874","6,305",1.4,COASTAL BREEZE RESIDENCES,Loyang Besar Close,"509049, 509050, 509051",Condominium,99 Yrs From 08/04/2008,D17 / Pasir Ris,2012,63 units,"S$ 1,194 psf in Jan 2025 for a 1,152-sqft unit",-11.4%,"S$ 486 psf in Nov 2011 for a 3,208-sqft unit","Singaporean 85.3%, PR 11.0%, Foreigner 3.7%, Company 0.0%","HDB 48.6%, Private 51.4%","S$ 861 - S$ 1,194 psf / S$ 1,058 psf",S$ 2.3 - S$ 4.0 psf pm / S$ 3.2 psf pm,3.6%,SUSTAINED LAND PTE LTD,13.0,BRENTON FONG ARCHITECTS,SL (LAND) CONSTRUCTION PTE LTD,,coastal-breeze-residences,8 LOYANG BESAR CLOSE COASTAL BREEZE RESIDENCES SINGAPORE 509049,509049,1.37816740380988,103.957248234037,8,LOYANG BESAR CLOSE,COASTAL BREEZE RESIDENCES,PASIR RIS MRT STATION,1060.5474214099972,Exit A
THE CLAYMORE,the-claymore,https://www.edgeprop.sg/condo-apartment/the-claymore,https://www.edgeprop.sg/condo-apartment/the-claymore,"22,853","64,020",2.8,THE CLAYMORE,Claymore Road,"229543, 229544",Condominium,Freehold,D9 / Newton,1985,146 units,"S$ 3,489 psf in Dec 2023 for a 3,348-sqft unit",-9.9%,"S$ 865 psf in Dec 1998 for a 2,680-sqft unit","Singaporean 46.8%, PR 14.7%, Foreigner 19.3%, Company 19.3%","HDB 2.3%, Private 97.7%","S$ 2,948 - S$ 3,399 psf / S$ 3,145 psf",S$ 3.5 - S$ 6.4 psf pm / S$ 4.5 psf pm,1.7%,,,,,,the-claymore,25 CLAYMORE ROAD THE CLAYMORE SINGAPORE 229543,229543,1.30783864295486,103.831055432986,25,CLAYMORE ROAD,THE CLAYMORE,ORCHARD MRT STATION,366.0658669641303,Exit 1
GOODVIEW APARTMENTS,goodview-apartments,https://www.edgeprop.sg/condo-apartment/goodview-apartments,https://www.edgeprop.sg/condo-apartment/goodview-apartments,582,"1,630",2.8,GOODVIEW APARTMENTS,Lorong 8 Geylang,399077,Apartment,Freehold,D14 / Geylang,1994,14 units,"S$ 863 psf in Aug 2022 for a 1,216-sqft unit",0.0%,"S$ 302 psf in Apr 2007 for a 1,141-sqft unit","Singaporean 89.5%, PR 0.0%, Foreigner 5.3%, Company 5.3%","HDB 42.1%, Private 57.9%",S$ 863 - S$ 863 psf / S$ 863 psf,S$ 3.2 - S$ 3.8 psf pm / S$ 3.6 psf pm,4.9%,,,,,,goodview-apartments,6 LORONG 8 GEYLANG GOODVIEW APARTMENTS SINGAPORE 399077,399077,1.31163885880473,103.87683807349,6,LORONG 8 GEYLANG,GOODVIEW APARTMENTS,KALLANG MRT STATION,567.885691749021,Exit A
CASA RIVIERA,casa-riviera,https://www.edgeprop.sg/condo-apartment/casa-riviera,https://www.edgeprop.sg/condo-apartment/casa-riviera,"2,711","3,796",1.4,CASA RIVIERA,Lim Tua Tow Road,"547766, 547801, 547802",Apartment,Freehold,D19 / Serangoon,1997,31 condos and 2 landed units,"S$ 1,302 psf in Oct 2023 for a 1,206-sqft unit",-2.2%,"S$ 417 psf in May 2007 for a 1,679-sqft unit","Singaporean 84.2%, PR 7.0%, Foreigner 1.8%, Company 0.0%","HDB 64.8%, Private 35.2%","S$ 1,274 - S$ 1,274 psf / S$ 1,274 psf",S$ 2.7 - S$ 3.5 psf pm / S$ 3.1 psf pm,2.9%,,,,,,casa-riviera,19 LIM TUA TOW ROAD CASA RIVIERA SINGAPORE 547766,547766,1.35485519692618,103.875760568547,19,LIM TUA TOW ROAD,CASA RIVIERA,SERANGOON MRT STATION,526.4660428357271,Exit C
MODA,moda,https://www.edgeprop.sg/condo-apartment/moda,https://www.edgeprop.sg/condo-apartment/moda,"1,686","5,058",3.0,MODA,East Coast Road,428762,Apartment,Freehold,D15 / Marine Parade,2014,56 units,"S$ 2,168 psf in Oct 2024 for a 969-sqft unit",-0.7%,"S$ 1,172 psf in Feb 2010 for a 969-sqft unit","Singaporean 82.8%, PR 11.8%, Foreigner 4.3%, Company 1.1%","HDB 18.3%, Private 81.7%","S$ 2,116 - S$ 2,168 psf / S$ 2,152 psf",S$ 3.5 - S$ 6.3 psf pm / S$ 5.2 psf pm,2.9%,HOR KEW LAND PTE LTD,11.0,TANG ARCHITECTS,HOR KEW PTE LTD,,moda,42 EAST COAST ROAD MODA SINGAPORE 428762,428762,1.30414392147877,103.903040922862,42,EAST COAST ROAD,MODA,DAKOTA MRT STATION,1612.6256925213415,Exit A
TRILIVE,trilive,https://www.edgeprop.sg/condo-apartment/trilive,https://www.edgeprop.sg/condo-apartment/trilive,"8,320","17,473",2.1,TRILIVE,Tampines Road,"533901, 533902, 535133",Condominium,Freehold,D19 / Hougang,2018,222 units,"S$ 1,906 psf in Mar 2025 for a 624-sqft unit",-5.1%,"S$ 1,359 psf in Jul 2015 for a 1,163-sqft unit","Singaporean 86.3%, PR 7.0%, Foreigner 6.7%, Company 0.0%","HDB 60.0%, Private 40.0%","S$ 1,741 - S$ 1,906 psf / S$ 1,809 psf",S$ 3.5 - S$ 6.3 psf pm / S$ 4.7 psf pm,3.1%,RH TAMPINES PTE LTD,7.0,KYOOB ARCHITECTS PTE LTD,RICH-LINK CONSTRUCTION PTE LTD,,trilive,115 TAMPINES ROAD TRILIVE SINGAPORE 533901,533901,1.36227688995884,103.89132907421,115,TAMPINES ROAD,TRILIVE,KOVAN MRT STATION,699.6863231874041,Exit C
